Time,Pressure,Temperature,Light,Sound
s,kPa,°C,lx,dBA
,,,,
175.68,97.6,33.5,98,59.5
176.64,97.6,33.5,98,47.3
177.6,97.6,33.5,97,64.3
178.56,97.6,33.5,81,82.2
179.52,97.6,33.6,80,40
180.48,97.6,33.6,92,68.1
181.44,97.8,33.6,86,56.2
182.4,97.6,33.6,101,40
183.36,97.8,33.6,102,74.6
184.32,97.8,33.7,60,86.8
185.28,97.8,33.7,51,81.5
186.24,97.8,33.7,51,59.4
187.2,97.8,33.7,54,65.6
188.16,97.8,33.8,71,75.1
189.12,97.8,33.8,96,41
190.08,97.8,33.8,101,51
191.04,97.8,33.8,108,62
192,97.8,33.8,108,59.5
192.96,98,33.8,99,40
193.92,98,33.9,96,40
194.88,98,33.9,99,40
195.84,98,33.9,99,54.7
196.8,98,33.9,99,40
197.76,98,33.9,99,56.8
198.72,98,34,99,55.5
199.68,98,34,100,40
200.64,98,34,92,73.5
201.6,98,34,70,71.5
202.56,98.2,34,59,66.7
203.52,98.2,34,86,57.1
204.48,98.2,34,98,54.3
205.44,98,34,116,47.7
206.4,98.2,34.1,120,46.3
207.36,98.2,34.1,120,72.2
208.32,98.2,34.1,120,69.7
209.28,98.2,34.1,119,51.2
210.24,98.2,34.1,118,61.4
211.2,98.4,34.1,117,40
212.16,98.4,34.1,118,61.2
213.12,98.4,34.1,101,55.3
214.08,98.4,34.2,90,68.4
215.04,98.4,34.2,105,53.1
216,98.4,34.2,113,60.6
216.96,98.4,34.2,119,46.9
217.92,98.4,34.2,120,47.5
218.88,98.4,34.2,120,40
219.84,98.4,34.2,121,66.8
220.8,98.6,34.2,121,71.8
221.76,98.6,34.2,120,58.2
222.72,98.6,34.2,120,69.4
223.68,98.6,34.2,120,70.5
224.64,98.6,34.2,120,70.3
225.6,98.6,34.2,121,53.9
226.56,98.6,34.2,121,40
227.52,98.6,34.2,121,70.7
228.48,98.6,34.3,121,62.2
229.44,98.6,34.3,121,69.3
230.4,98.8,34.3,121,62.8
231.36,98.8,34.3,123,62.6
232.32,98.8,34.3,121,45.2
233.28,98.8,34.3,117,65.4
234.24,98.8,34.3,128,68.8
235.2,98.8,34.3,133,48.7
236.16,98.8,34.3,137,69.8
237.12,98.8,34.4,142,74.1
238.08,98.8,34.4,147,67.3
239.04,98.8,34.4,147,51.9
240,98.8,34.4,147,42
240.96,99,34.4,148,68.9
241.92,99,34.4,148,70
242.88,99,34.4,148,70.7
243.84,99,34.4,148,43.7
244.8,99,34.4,143,63
245.76,99,34.4,143,49.1
246.72,99,34.4,150,71
247.68,99.2,34.4,151,74
248.64,99.2,34.4,151,71.2
249.6,99.2,34.4,151,40
250.56,99.2,34.4,151,53
251.52,99.2,34.4,150,69.3
252.48,99.2,34.4,150,40
253.44,99.2,34.4,149,68.9
254.4,99.2,34.3,144,67.7
255.36,99.2,34.3,144,73.8
256.32,99.3,34.4,145,68.3
257.28,99.3,34.4,145,60.6
258.24,99.3,34.4,145,60.5
259.2,99.3,34.4,145,40
260.16,99.3,34.5,145,54.2
261.12,99.3,34.5,145,40
262.08,99.3,34.5,146,40
263.04,99.3,34.6,146,40
264,99.5,34.6,145,78.6
264.96,99.5,34.6,145,71.2
265.92,99.5,34.7,145,65.7
266.88,99.5,34.7,145,40
267.84,99.5,34.7,145,66.4
268.8,99.5,34.7,148,75.4
269.76,99.5,34.7,148,40.7
270.72,99.5,34.7,148,45.1
271.68,99.5,34.7,151,40
272.64,99.5,34.8,154,66.6
273.6,99.5,34.8,155,40.5
274.56,99.7,34.8,155,40
275.52,99.7,34.8,155,63.3
276.48,99.7,34.8,155,40
277.44,99.7,34.8,155,62.5
278.4,99.7,34.8,155,52.9
279.36,99.7,34.8,150,69.5
280.32,99.7,34.8,150,73.2
281.28,99.7,34.8,150,46.4
282.24,99.7,34.8,151,64.4
283.2,99.7,34.9,152,71.2
284.16,99.7,34.9,152,50.1
285.12,99.9,34.9,153,63.6
286.08,99.9,34.9,154,61.5
287.04,99.9,34.9,154,40
288,99.9,34.9,154,66.3
288.96,99.9,34.9,153,44.1
289.92,99.9,34.9,154,67.1
290.88,99.9,34.9,154,75.7
291.84,99.9,34.9,154,61.6
292.8,99.9,34.9,154,40
293.76,99.9,34.9,154,51.5
294.72,100.1,34.9,153,62.9
295.68,100.1,34.9,153,40
296.64,100.1,34.9,153,40
297.6,100.1,34.9,153,63.1
298.56,100.1,34.9,153,40
299.52,100.1,34.9,153,49.3
300.48,100.1,34.9,155,49.7
301.44,100.1,34.9,156,40
302.4,100.1,34.9,156,67.7
303.36,100.3,34.9,155,63.8
304.32,100.3,34.9,155,57.8
305.28,100.3,34.9,155,57
306.24,100.3,34.9,155,69.5
307.2,100.3,34.9,155,58.9
308.16,100.3,34.9,155,65.3
309.12,100.3,34.9,155,40
310.08,100.3,34.9,155,64.2
311.04,100.3,34.9,155,66.4
312,100.3,34.9,155,69.7
312.96,100.5,34.9,155,53.9
313.92,100.5,34.9,155,65.8
314.88,100.5,34.9,155,70.9
315.84,100.5,35,155,61.8
316.8,100.5,35,155,40
317.76,100.5,35,155,73.3
318.72,100.5,35,153,40
319.68,100.5,35,145,73.9
320.64,100.5,35,132,51
321.6,100.5,35,111,46.5
322.56,100.5,35,86,68.8
323.52,100.5,35,100,42.7
324.48,100.5,35,113,72.3
325.44,100.7,35,137,67.3
326.4,100.7,35,149,67
327.36,100.7,35,152,40
328.32,100.7,35,153,53.4
329.28,100.7,35,154,40
330.24,100.7,35,155,60.4
331.2,100.7,35,155,53.5
332.16,100.7,35,155,40
333.12,100.7,35,155,40
334.08,100.9,35,155,60.5
335.04,100.7,35,155,68
336,100.9,35,155,40
336.96,100.9,35,155,40
337.92,100.9,35,155,65.3
338.88,100.9,35,155,65
339.84,100.9,35,155,74.3
340.8,100.9,35,155,68
341.76,100.9,35.1,155,65.2
342.72,100.9,35.1,155,76.1
343.68,100.9,35.1,155,62.2
344.64,100.9,35.1,155,62.7
345.6,100.9,35.1,155,65.2
346.56,101.1,35.1,155,55.9
347.52,101.1,35.1,155,40
348.48,101.1,35.1,155,66.2
349.44,101.1,35.1,155,40
350.4,101.1,35.1,155,40
351.36,101.1,35.1,155,67.4
352.32,101.1,35.1,155,55.2
353.28,101.1,35.1,155,65.7
354.24,101.1,35.1,155,66.5
355.2,101.1,35.1,155,54.2
356.16,101.1,35.1,155,46.6
357.12,101.3,35.1,155,66.8
358.08,101.3,35.1,155,68.4
359.04,101.3,35.1,155,49.6
360,101.3,35.1,155,63
360.96,101.3,35.1,154,53.9
361.92,101.3,35.1,154,58.2
362.88,101.3,35.1,153,40
363.84,101.3,35.1,151,69.6
364.8,101.3,35.1,152,40.9
365.76,101.3,35.1,152,40
366.72,101.3,35.2,152,40
367.68,101.5,35.2,145,76.5
368.64,101.5,35.2,132,65
369.6,101.5,35.2,105,40
370.56,101.5,35.2,88,74.1
371.52,101.5,35.2,96,40
372.48,101.5,35.2,107,49
373.44,101.5,35.2,121,59.6
374.4,101.5,35.2,146,66.8
375.36,101.5,35.2,152,48.7
376.32,101.5,35.2,153,77
377.28,101.6,35.2,153,74.4
378.24,101.6,35.2,153,43.4
379.2,101.6,35.2,153,63.5
380.16,101.6,35.2,153,66.4
381.12,101.6,35.2,153,40
382.08,101.6,35.2,153,76.9
383.04,101.6,35.2,153,63.5
384,101.6,35.2,153,40
384.96,101.6,35.2,153,49.5
385.92,101.6,35.2,154,65
386.88,101.6,35.3,154,53.4
387.84,101.6,35.3,154,40
388.8,101.6,35.3,153,73.9
389.76,101.6,35.3,152,80.5
390.72,101.8,35.3,152,61.8
391.68,101.8,35.3,152,40
392.64,101.8,35.3,152,68.6
393.6,101.8,35.3,152,53
394.56,101.8,35.3,151,40
395.52,101.8,35.3,151,70.6
396.48,101.8,35.3,151,65.7
397.44,101.8,35.3,152,40.1
398.4,101.8,35.3,152,67.8
399.36,101.8,35.3,152,65.1
400.32,101.8,35.3,153,40
401.28,101.8,35.3,153,68.3
402.24,101.8,35.3,152,65.4
403.2,101.8,35.3,152,40
404.16,101.8,35.3,152,65.2
405.12,102,35.3,152,53.5
406.08,102,35.3,152,40
407.04,102,35.3,152,64.9
408,102,35.3,152,40
408.96,102,35.3,152,40
409.92,102,35.3,151,40
410.88,102,35.3,152,69.3
411.84,102,35.3,152,71.9
412.8,102,35.3,152,65.1
413.76,102,35.3,152,70
414.72,102,35.3,152,51.1
415.68,102,35.3,152,40
416.64,102,35.3,152,54
417.6,102,35.3,152,60.9
418.56,102,35.3,152,78.1
419.52,102.2,35.3,152,43.5
420.48,102.2,35.3,152,40.2
421.44,102.2,35.3,153,56.8
422.4,102.2,35.3,153,57
423.36,102.2,35.3,153,40
424.32,102.2,35.3,153,57.8
425.28,102.2,35.3,153,63.9
426.24,102.2,35.3,152,62.8
427.2,102.2,35.3,153,56
428.16,102.2,35.3,153,40
429.12,102.2,35.3,153,40.1
430.08,102.2,35.3,153,71.3
431.04,102.2,35.3,153,65.1
432,102.2,35.3,149,60.5
432.96,102.2,35.3,131,71.7
433.92,102.2,35.3,111,66.7
434.88,102.2,35.3,103,78.3
435.84,102.2,35.3,78,40
436.8,102.2,35.3,77,68.7
437.76,102.2,35.3,80,68.7
438.72,102.4,35.3,78,61.5
439.68,102.4,35.3,76,40
440.64,102.4,35.3,76,64.8
441.6,102.4,35.3,80,72.8
442.56,102.4,35.3,79,58.6
443.52,102.4,35.3,77,69.7
444.48,102.4,35.3,74,73.8
445.44,102.4,35.3,73,60.9
446.4,102.4,35.3,72,77
447.36,102.4,35.3,77,70.7
