Time,Pressure,Temperature,Light,Sound
s,kPa,°C,lx,dBA
,,,,
787.2,96.5,10.9,113,40
788.16,96.5,10.8,113,58.7
789.12,96.5,10.9,110,65.9
790.08,96.5,10.8,95,71.5
791.04,96.5,10.8,100,52.2
792,96.5,10.8,100,69.7
792.96,96.5,10.8,83,49.4
793.92,96.5,10.8,77,78.5
794.88,96.5,10.8,98,40
795.84,96.5,10.8,100,76.2
796.8,96.5,10.8,99,69
797.76,96.5,10.8,101,40
798.72,96.5,10.8,101,41.4
799.68,96.5,10.8,101,40
800.64,96.5,10.8,101,40
801.6,96.5,10.8,101,40
802.56,96.5,10.8,101,40
803.52,96.5,10.8,101,40
804.48,96.5,10.8,101,40
805.44,96.5,10.8,101,40
806.4,96.5,10.8,101,40
807.36,96.5,10.8,101,40
808.32,96.5,10.8,101,40
809.28,96.5,10.8,101,40
810.24,96.5,10.8,101,40
811.2,96.5,10.8,99,40
812.16,96.5,10.8,94,40
813.12,96.5,10.8,91,40
814.08,96.5,10.8,72,95.3
815.04,96.5,10.8,58,77.1
816,96.5,10.8,55,76.8
816.96,96.5,10.8,54,74.1
817.92,96.5,10.8,54,73.7
818.88,96.5,10.8,54,73.1
819.84,96.5,10.8,55,75.4
820.8,96.5,10.8,56,73.3
821.76,96.5,10.7,56,71.8
822.72,96.5,10.7,55,71.3
823.68,96.5,10.7,55,71.5
824.64,96.5,10.7,55,72.2
825.6,96.5,10.7,54,72
826.56,96.5,10.7,53,70.7
827.52,96.5,10.7,52,40
828.48,96.5,10.7,52,40
829.44,96.5,10.7,88,40
830.4,96.5,10.7,103,48.5
831.36,96.5,10.7,110,71.9
832.32,96.5,10.7,119,62
833.28,96.5,10.7,121,63.5
834.24,96.5,10.7,122,69.6
835.2,96.5,10.7,121,69.7
836.16,96.5,10.7,136,43.8
837.12,96.5,10.7,141,40
838.08,96.5,10.7,131,71.8
839.04,96.5,10.7,148,69
840,96.5,10.7,151,58.5
840.96,96.5,10.7,152,40
841.92,96.5,10.7,152,69.9
842.88,96.5,10.7,152,58.9
843.84,96.5,10.7,152,40
844.8,96.5,10.7,152,67.1
845.76,96.5,10.7,153,72.4
846.72,96.5,10.7,152,59.7
847.68,96.5,10.7,152,40
848.64,96.5,10.7,153,59.7
849.6,96.5,10.7,153,59.7
850.56,96.5,10.7,153,43
851.52,96.5,10.7,153,40
852.48,96.5,10.7,153,65.5
853.44,96.5,10.7,153,60.8
854.4,96.5,10.7,153,40
855.36,96.5,10.7,153,58.5
856.32,96.5,10.7,153,40
857.28,96.5,10.7,153,74.7
858.24,96.5,10.7,153,49.9
859.2,96.5,10.7,153,54.1
860.16,96.5,10.7,153,57.9
861.12,96.5,10.7,153,61.1
862.08,96.5,10.7,153,45.1
863.04,96.5,10.7,153,40
864,96.5,10.7,154,40
864.96,96.5,10.7,154,40
865.92,96.5,10.7,153,50.8
866.88,96.5,10.7,153,45
867.84,96.5,10.7,154,40
868.8,96.5,10.7,154,66.3
869.76,96.5,10.7,154,40
870.72,96.5,10.7,154,61
871.68,96.5,10.7,154,49.7
872.64,96.5,10.7,154,40
873.6,96.5,10.7,154,40
874.56,96.5,10.7,154,40
875.52,96.5,10.7,155,64.4
876.48,96.5,10.7,155,43.4
877.44,96.5,10.7,155,58.7
878.4,96.5,10.7,155,58.1
879.36,96.5,10.7,155,40
880.32,96.5,10.7,155,53.5
881.28,96.5,10.7,155,51.2
882.24,96.5,10.7,155,61.6
883.2,96.5,10.7,155,42.3
884.16,96.5,10.7,155,40
885.12,96.5,10.7,155,58.7
886.08,96.5,10.7,155,40
887.04,96.5,10.7,155,40
888,96.5,10.7,155,40
888.96,96.5,10.7,155,40
889.92,96.5,10.7,155,46.2
890.88,96.5,10.7,155,40
891.84,96.5,10.7,155,65.7
892.8,96.5,10.7,155,40
893.76,96.5,10.7,155,67.8
